"name","cmc","type","color","rarity","image URL","image Back URL","custom"
"Orbital Bombardment","5","Sorcery","W","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Orbital Bombardment.jpg","","TRUE"
"Order 66","6","Sorcery","B","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Order 66.jpg","","TRUE"
"Ortolan Keyboardist","2","Creature — Ortolan Citizen","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ortolan Keyboardist.jpg","","TRUE"
"Outer Rim Heavies","3","Creature — Trandoshan Rogue","BRG","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Outer Rim Heavies.jpg","","TRUE"
"Outlaw Holocron","3","Artifact",,"uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Outlaw Holocron.jpg","","TRUE"
"Personal Energy Shield","1","Instant","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Personal Energy Shield.jpg","","TRUE"
"Plo Koon","5","Legendary Creature — Kel-Dor Jedi","W","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Plo Koon.jpg","","TRUE"
"Precipice of Mortis","3","Enchantment","GWU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Precipice of Mortis.jpg","","TRUE"
"Aspect of Rancor","1","Enchantment — Aura","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Aspect of Rancor.jpg","","TRUE"
"Preordain","1","Sorcery","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Preordain.jpg","","TRUE"
"Princess Leia","6","Legendary Creature — Human Rebel","W","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Princess Leia.jpg","","TRUE"
"Probe Droid","2","Artifact Creature — Droid Scout","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Probe Droid.jpg","","TRUE"
"Qui-Gon Jinn","5","Legendary Creature — Human Jedi","GWU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Qui-Gon Jinn.jpg","","TRUE"
"Raging Reek","5","Creature — Beast","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Raging Reek.jpg","","TRUE"
"Rallying Fire","3","Instant","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Rallying Fire.jpg","","TRUE"
"Ravenous Wampa","3","Creature — Beast","RGW","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ravenous Wampa.jpg","","TRUE"
"Republic Frigate","4","Artifact Creature — Starship","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Republic Frigate.jpg","","TRUE"
"Repurpose","5","Sorcery","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Repurpose.jpg","","TRUE"
"You Were My Brother","2","Instant","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/You Were My Brother.jpg","","TRUE"
"Riding Ronto","3","Creature — Beast","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Riding Ronto.jpg","","TRUE"
"Artillery Trooper","5","Creature — Human Trooper","R","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Artillery Trooper.jpg","","TRUE"
"Rule of Two","2","Enchantment","B","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Rule of Two.jpg","","TRUE"
"Rumination","3","Sorcery","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Rumination.jpg","","TRUE"
"Gamble","1","Sorcery","R","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Gamble.jpg","","TRUE"
"Salvage Squad","3","Creature — Jawa Artificer","WUB","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Salvage Squad.jpg","","TRUE"
"Patrol Trooper","2","Creature — Human Trooper","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Patrol Trooper.jpg","","TRUE"
"Sarlacc Pit","2","Creature — Beast","RG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sarlacc Pit.jpg","","TRUE"
"Scout the Perimeter","2","Sorcery","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Scout the Perimeter.jpg","","TRUE"
"Trooper Sergeant","5","Creature — Human Trooper","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Trooper Sergeant.jpg","","TRUE"
"Security Droid","2","Artifact Creature — Droid Soldier","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Security Droid.jpg","","TRUE"
"Senator Bail Organa","2","Legendary Creature — Human Rebel","GW","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Senator Bail Organa.jpg","","TRUE"
"Padmé Amidala","2","Legendary Creature — Human Advisor","WU","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Padme Amidala.jpg","","TRUE"
"Relentless Pit Fighter","2","Creature — Trandoshan Berserker","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Relentless Pit Fighter.jpg","","TRUE"
"Shaak Herd","2","Creature — Beast","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Shaak Herd.jpg","","TRUE"
"Shadow Trooper","3","Creature — Human Trooper","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Shadow Trooper.jpg","","TRUE"
"Shock Trooper","5","Creature — Human Trooper","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Shock Trooper.jpg","","TRUE"
"Show of Dominance","4","Sorcery","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Show of Dominance.jpg","","TRUE"
"Sith Assassin","3","Creature — Pureblood Sith","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Assassin.jpg","","TRUE"
"Fortress Vader","0","Land","UBR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Fortress Vader.jpg",,"TRUE"
"Sith Evoker","4","Creature — Chiss Sith","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Evoker.jpg","","TRUE"
"Sith Holocron","3","Artifact",,"uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Holocron.jpg","","TRUE"
"Sith Inquisitor","5","Creature — Human Sith","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Inquisitor.jpg","","TRUE"
"Sith Lord","4","Creature — Human Sith","BR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Lord.jpg","","TRUE"
"Sith Magic","3","Enchantment","UBR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Magic.jpg","","TRUE"
"Sith Manipulator","4","Creature — Human Sith","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Manipulator.jpg","","TRUE"
"Sith Marauder","4","Creature — Pau'an Sith","BR","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Marauder.jpg","","TRUE"
"Sith Mindseer","4","Creature — Human Sith","UBR","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Mindseer.jpg","","TRUE"
"Sith Ravager","3","Creature — Human Sith","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Ravager.jpg","","TRUE"
"Korriban Ruins","0","Land","UBR","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Korriban Ruins.jpg",,"TRUE"
"Sith Sorcerer","3","Creature — Pureblood Sith","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Sorcerer.jpg","","TRUE"
"Sith Thoughtseeker","2","Creature — Human Sith","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Thoughtseeker.jpg","","TRUE"
"Slave I","4","Legendary Artifact Creature — Starship","BRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Slave I.jpg","","TRUE"
"Smash to Smithereens","2","Instant","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Smash to Smithereens.jpg","","TRUE"
"Snow Trooper","3","Creature — Human Trooper","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Snow Trooper.jpg","","TRUE"
"Speeder Trooper","3","Creature — Human Trooper","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Speeder Trooper.jpg","","TRUE"
"Star Destroyer","7","Artifact Creature — Starship","UBR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Star Destroyer.jpg","","TRUE"
"Strike Team Captain","3","Creature — Human Rebel","GW","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Strike Team Captain.jpg","","TRUE"
"Super Battle Droid","6","Artifact Creature — Droid Soldier","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Super Battle Droid.jpg","","TRUE"
"Inspire","2","Instant","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Inspire.jpg","","TRUE"
"Syndicate Findsman","3","Creature — Gand Hunter","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Syndicate Findsman.jpg","","TRUE"
"Tank Droid","6","Artifact Creature — Droid Juggernaut","WUB","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Tank Droid.jpg","","TRUE"
"Terentatek Cub","2","Creature — Beast","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Terentatek Cub.jpg","","TRUE"
"The Battle of Endor","6","Battle — Siege","G","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Endor.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Endor-Planetary Shield Generator.jpg","TRUE"
"The Battle of Geonosis","6","Battle — Siege","R","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Geonosis.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Geonosis-Core Ship Obliteration.jpg","TRUE"
"The Battle of Hoth","6","Battle — Siege","W","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Hoth.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Hoth-Echo Base.jpg","TRUE"
"The Battle of Naboo","6","Battle — Siege","U","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Naboo.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Naboo-Journey Through the Core.jpg","TRUE"
"The Battle of Yavin","6","Battle — Siege","B","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Yavin.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Yavin-Trench Run.jpg","TRUE"
"The Death Star","0","Legendary Artifact Land",,"mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Death Star.jpg",,"TRUE"
"TIE Bomber","3","Artifact Creature — Starship","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/TIE Bomber.jpg","","TRUE"
"TIE Interceptor","2","Artifact Creature — Starship","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/TIE Interceptor.jpg","","TRUE"
"Lucrehulk Battleship","6","Artifact Creature — Starship","WUB","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Lucrehulk Battleship.jpg","","TRUE"
"Tri-Fighter","3","Artifact Creature — Droid Starship","UB","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Tri-Fighter.jpg","","TRUE"
"Forest Trooper","3","Creature — Human Trooper","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Forest Trooper.jpg","","TRUE"
"Twi'lek Smuggler","2","Creature — Twi'lek Rogue","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Twilek Smuggler.jpg","","TRUE"
"Ugnaught Scrap Worker","2","Creature — Ugnaught Artificer","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ugnaught Scrap Worker.jpg","","TRUE"
"Corellian Slums","0","Land","BRG","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Corellian Slums.jpg",,"TRUE"
"Unity of the Droids","3","Instant","WUB","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Unity of the Droids.jpg","","TRUE"
"Unruly Sureshot","5","Creature — Human Hunter","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Unruly Sureshot.jpg","","TRUE"
"Force Whirlwind","1","Instant","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Whirlwind.jpg","","TRUE"
"V-Wing","2","Artifact Creature — Starship","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/V-Wing.jpg","","TRUE"
"Weequay Beastmaster","2","Creature — Weequay Shaman","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Weequay Beastmaster.jpg","","TRUE"
"Wild Holocron","3","Artifact",,"uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Wild Holocron.jpg","","TRUE"
"Wisdom of the Jedi","3","Instant","GWU","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Wisdom of the Jedi.jpg","","TRUE"
"Womp Rats","4","Creature — Rat Beast","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Womp Rats.jpg","","TRUE"
"Wookiee Bounty Hunter","5","Creature — Wookiee Hunter","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Wookiee Bounty Hunter.jpg","","TRUE"
"Wookiee Mystic","2","Creature — Wookiee Shaman","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Wookiee Mystic.jpg","","TRUE"
"X-Wing","3","Artifact Creature — Rebel Starship","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/X-Wing.jpg","","TRUE"
"Cryptic Hermit","2","Legendary Creature — Shaman","U","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cryptic Hermit.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cryptic Hermit-Yoda Jedi Grand Master.jpg","TRUE"
"Y-Wing","3","Artifact Creature — Rebel Starship","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Y-Wing.jpg","","TRUE"
"Zam Wesell","4","Legendary Creature — Clawdite Hunter","U","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Zam Wesell.jpg","","TRUE"
"Gravitic Maelstrom","0","Land","WUBRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Gravitic Maelstrom.jpg",,"TRUE"
"Monument Plaza","0","Land","WUBRG","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Monument Plaza.jpg",,"TRUE"
"Neimoidian Bridge City","0","Land - Plains Island Swamp","WUB","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Neimoidian Bridge City.jpg",,"TRUE"
"Tombs of Dathomir","0","Land - Island Swamp Mountain","UBR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Tombs of Dathomir.jpg",,"TRUE"
"Great Jedi Library","0","Land - Forest Plains Island","GWU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Great Jedi Library.jpg",,"TRUE"
"Sith Citadel","0","Land","UBR","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Citadel.jpg",,"TRUE"
"Felucian Jungle","0","Land - Mountain Forest Plains","RGW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Felucian Jungle.jpg",,"TRUE"
"Eos Foundry","0","Land","WUB","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Eos Foundry.jpg",,"TRUE"
"Meditation Chamber","0","Land","GWU","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Meditation Chamber.jpg",,"TRUE"
"Nar Shaddaa Promenade","0","Land","BRG","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Nar Shaddaa Promenade.jpg",,"TRUE"
"Mos Eisley Cantina","0","Land - Swamp Mountain Forest","BRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Mos Eisley Cantina.jpg",,"TRUE"
"Dxun Outpost","0","Land","RGW","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Dxun Outpost.jpg",,"TRUE"
"Cloud City","0","Land - Plains Island","WU","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cloud City.jpg",,"TRUE"
"Vaults of Scipio","0","Land - Plains Swamp","WB","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Vaults of Scipio.jpg",,"TRUE"
"Spice Mines","0","Land - Swamp Mountain","BR","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Spice Mines.jpg",,"TRUE"
"Hermit's Refuge","0","Land - Swamp Forest","BG","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hermits Refuge.jpg",,"TRUE"
"Sunbaked Ridge","0","Land - Mountain Plains","WR","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sunbaked Ridge.jpg",,"TRUE"
"Alderaan Hills","0","Land - Forest Plains","GW","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Alderaan Hills.jpg",,"TRUE"
"Scarif Base","0","Land - Island Mountain","UR","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Scarif Base.jpg",,"TRUE"
"Subsurface Ocean","0","Land - Island Swamp","UB","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Subsurface Ocean.jpg",,"TRUE"
"Varykino Villa","0","Land - Forest Island","UG","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Varykino Villa.jpg",,"TRUE"
"Wroshyr Village","0","Land - Mountain Forest","RG","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Wroshyr Village.jpg",,"TRUE"
"Queen Amidala","2","Legendary Creature — Human Noble","GW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Queen Amidala.jpg","","TRUE"
"Bludgeoning Pain","2","Instant","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bludgeoning Pain.jpg","","TRUE"
"Dengar the Demolisher","5","Legendary Creature — Human Hunter","B","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Dengar the Demolisher.jpg","","TRUE"
"Geonosian Warrior","1","Creature — Insect Warrior","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Geonosian Warrior.jpg","","TRUE"
"Hondo Ohnaka","3","Legendary Creature — Weequay Hunter","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hondo Ohnaka.jpg","","TRUE"
"Astrogation Error","4","Instant","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Astrogation Error.jpg","","TRUE"
"Kit Fisto","4","Legendary Creature — Nautolan Jedi","GWU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Kit Fisto.jpg","","TRUE"
"Shoot First","2","Instant","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Shoot First.jpg","","TRUE"
"Spider Droid","2","Artifact Creature — Droid","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Spider Droid.jpg","","TRUE"
"Tarfful, Wookiee General","2","Legendary Creature — Wookiee Warrior","RG","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Tarfful Wookiee General.jpg","","TRUE"
"The Battle of Coruscant","2","Battle — Siege","R","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Coruscant.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Coruscant-Feed Your Anger.jpg","TRUE"
"The Battle of Kamino","2","Battle — Siege","U","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Kamino.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Kamino-Embryo Chamber.jpg","TRUE"
"The Battle of Kashyyyk","2","Battle — Siege","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Kashyyyk.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Kashyyyk-Wookiee Militia.jpg","TRUE"
"The Battle of Utapau","2","Battle — Siege","B","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Utapau.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Utapau-The First Galactic Empire.jpg","TRUE"
"The Battle of Scarif","2","Battle — Siege","W","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Scarif.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/The Battle of Scarif-Landing Pad.jpg","TRUE"
"Force Choke","2","Instant","UB","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Choke.jpg","","TRUE"
"Sith Acolyte","1","Creature — Dathomirian Sith","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sith Acolyte.jpg","","TRUE"
"Korriban Tomb Guardian","1","Creature — Zombie Warrior","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Korriban Tomb Guardian.jpg","","TRUE"
"Force Awakening","2","Instant","GW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Awakening.jpg","","TRUE"
"Force Crush","4","Instant","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Crush.jpg","","TRUE"
"Force Bond","3","Enchantment","GWU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Bond.jpg","","TRUE"
"Cut Down","1","Instant","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cut Down.jpg","","TRUE"
"Hazard Trooper","2","Creature — Human Cyborg Trooper","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hazard Trooper.jpg","","TRUE"
"Scout Trooper","2","Creature — Human Trooper","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Scout Trooper.jpg","","TRUE"
"Assault Trooper","3","Creature — Human Trooper","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Assault Trooper.jpg","","TRUE"
"Trooper Squad Leader","5","Creature — Human Trooper","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Trooper Squad Leader.jpg","","TRUE"
"Trooper Medic","3","Creature — Human Trooper","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Trooper Medic.jpg","","TRUE"
"Sand Trooper","2","Creature — Human Trooper","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sand Trooper.jpg","","TRUE"
"Trooper Commando","6","Creature — Human Trooper","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Trooper Commando.jpg","","TRUE"
"Swamp Trooper","3","Creature — Human Trooper","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Swamp Trooper.jpg","","TRUE"
